2026-02-18 14:54:02,012 | INFO | src.pipeline.orchestrator | Quarterly scan iteration 1/1
2026-02-18 14:54:21,443 | INFO | src.infra.llm | LLM auth: using OPENAI_API_KEY (base_url=https://api.openai.com/v1)
2026-02-18 14:54:30,250 | INFO | src.pipeline.orchestrator | LLM re-ranked 3 candidates for bmo report_to_shareholders (top: [PDF] BMO Financial Group 2025 Annual Report to Shareholders)
2026-02-18 14:55:15,329 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/archive/en/bmo_ar2025_MDA.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 14:56:00,407 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/bmo_ar2025_CFS.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 14:56:45,482 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Q425_EarningsRelease.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 14:57:48,831 | INFO | src.pipeline.orchestrator | LLM re-ranked 4 candidates for bmo pillar3_disclosure (top: Regulatory Disclosures)
2026-02-18 14:58:33,924 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Suppq425.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 14:59:13,802 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Q425_EarningsRelease.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 14:59:58,874 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/archive/en/bmo_ar2025_MDA.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:00:43,963 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/bmo_ar2025_CFS.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:01:02,518 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Q425_AnalystPresentation.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:01:47,590 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/files/F25%20Files/BMOQ425Transcript.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:03:44,034 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/files/Live-Files/CorporateFactSheet.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:04:31,411 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/pdfs/bmo_statement_against_modern_slavery_and_human_trafficking.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:04:50,003 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q1/SuppRegCapitalDisclosure_Q125.xlsx: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:06:38,784 | INFO | src.pipeline.orchestrator | LLM re-ranked 5 candidates for bmo supplementary_financial_info (top: [PDF] Supplementary Financial Information - (PDF Output Laye)
2026-02-18 15:07:29,217 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Suppq425.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:08:14,292 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Q425_AnalystPresentation.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:08:57,637 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/Q425_EarningsRelease.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:09:16,167 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/archive/en/bmo_ar2025_MDA.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:09:34,755 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/qtrinfo/1/2025-q4/bmo_ar2025_CFS.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
2026-02-18 15:10:19,821 | WARNING | src.infra.downloads | Download failed for https://www.bmo.com/ir/files/F25%20Files/BMOQ425Transcript.pdf: HTTPSConnectionPool(host='www.bmo.com', port=443): Read timed out. (read timeout=45)
